,pathway,source
0,R-HSA-204005,ENSG00000007255
1,R-HSA-8876198,ENSG00000007255
2,R-HSA-1369062,ENSG00000064687
3,R-HSA-432722,ENSG00000073921
4,R-HSA-8856825,ENSG00000073921
5,R-HSA-9696264,ENSG00000073921
6,R-HSA-198933,ENSG00000095970
7,R-HSA-2424491,ENSG00000095970
8,R-HSA-416700,ENSG00000095970
9,R-HSA-1296052,ENSG00000104783
10,R-HSA-5607761,ENSG00000104856
11,R-HSA-5621575,ENSG00000104856
12,R-HSA-5676590,ENSG00000104856
13,R-HSA-5578775,ENSG00000104936
14,R-HSA-114608,ENSG00000120885
15,R-HSA-166665,ENSG00000120885
16,R-HSA-6803157,ENSG00000120885
17,R-HSA-977606,ENSG00000120885
18,R-HSA-198933,ENSG00000130202
19,R-HSA-420597,ENSG00000130202
20,R-HSA-1251985,ENSG00000130203
21,R-HSA-3000480,ENSG00000130203
22,R-HSA-381426,ENSG00000130203
23,R-HSA-8864260,ENSG00000130203
24,R-HSA-8957275,ENSG00000130203
25,R-HSA-8963888,ENSG00000130203
26,R-HSA-8963901,ENSG00000130203
27,R-HSA-8964026,ENSG00000130203
28,R-HSA-8964058,ENSG00000130203
29,R-HSA-9029569,ENSG00000130203
30,R-HSA-975634,ENSG00000130203
31,R-HSA-977225,ENSG00000130203
32,R-HSA-1268020,ENSG00000130204
33,R-HSA-5205685,ENSG00000130204
34,R-HSA-8866423,ENSG00000130208
35,R-HSA-8964046,ENSG00000130208
36,R-HSA-9029569,ENSG00000130208
37,R-HSA-977225,ENSG00000137642
38,R-HSA-8856825,ENSG00000138760
39,R-HSA-191859,ENSG00000142252
40,R-HSA-9754678,ENSG00000142252
41,R-HSA-8873719,ENSG00000152932
42,R-HSA-432722,ENSG00000189114
43,R-HSA-166016,ENSG00000197959
44,R-HSA-177504,ENSG00000197959
45,R-HSA-2132295,ENSG00000197959
46,R-HSA-437239,ENSG00000197959
47,R-HSA-2672351,ENSG00000198626
48,R-HSA-5578775,ENSG00000198626
49,R-HSA-6798695,ENSG00000203710
50,R-HSA-8877330,ENSG00000203710
51,R-HSA-977606,ENSG00000203710
52,R-HSA-8963888,ENSG00000234906
53,R-HSA-8963889,ENSG00000234906
54,R-HSA-8963901,ENSG00000234906
55,R-HSA-8964058,ENSG00000234906
56,R-HSA-9029569,ENSG00000234906
57,R-HSA-975634,ENSG00000234906
58,R-HSA-163210,ENSG00000241837
59,R-HSA-8949613,ENSG00000241837
60,R-HSA-173736,ENSG00000243649
61,R-HSA-174577,ENSG00000243649
62,R-HSA-977606,ENSG00000243649
63,R-HSA-8866423,ENSG00000267467
64,R-HSA-8964046,ENSG00000267467
65,R-HSA-9029569,ENSG00000267467
66,R-HSA-212436,ENSG00000062370
67,R-HSA-8856828,ENSG00000073921
68,R-HSA-2172127,ENSG00000095970
69,R-HSA-418990,ENSG00000130202
70,R-HSA-8856828,ENSG00000136717
71,R-HSA-8856828,ENSG00000138760
72,R-HSA-8856828,ENSG00000197959
