,pathway,source
0,R-HSA-5620912,ENSG00000007047
1,R-HSA-204005,ENSG00000007255
2,R-HSA-8876198,ENSG00000007255
3,R-HSA-1369062,ENSG00000064687
4,R-HSA-432722,ENSG00000073921
5,R-HSA-8856825,ENSG00000073921
6,R-HSA-9696264,ENSG00000073921
7,R-HSA-198933,ENSG00000095970
8,R-HSA-2424491,ENSG00000095970
9,R-HSA-416700,ENSG00000095970
10,R-HSA-1296052,ENSG00000104783
11,R-HSA-5607761,ENSG00000104856
12,R-HSA-5621575,ENSG00000104856
13,R-HSA-5676590,ENSG00000104856
14,R-HSA-6804759,ENSG00000104881
15,R-HSA-5578775,ENSG00000104936
16,R-HSA-427413,ENSG00000117877
17,R-HSA-5250924,ENSG00000117877
18,R-HSA-73762,ENSG00000117877
19,R-HSA-73772,ENSG00000117877
20,R-HSA-73863,ENSG00000117877
21,R-HSA-114608,ENSG00000120885
22,R-HSA-166665,ENSG00000120885
23,R-HSA-6803157,ENSG00000120885
24,R-HSA-977606,ENSG00000120885
25,R-HSA-9018519,ENSG00000125740
26,R-HSA-9031628,ENSG00000125740
27,R-HSA-198933,ENSG00000130202
28,R-HSA-420597,ENSG00000130202
29,R-HSA-1251985,ENSG00000130203
30,R-HSA-3000480,ENSG00000130203
31,R-HSA-381426,ENSG00000130203
32,R-HSA-8864260,ENSG00000130203
33,R-HSA-8957275,ENSG00000130203
34,R-HSA-8963888,ENSG00000130203
35,R-HSA-8963901,ENSG00000130203
36,R-HSA-8964026,ENSG00000130203
37,R-HSA-8964058,ENSG00000130203
38,R-HSA-9029569,ENSG00000130203
39,R-HSA-975634,ENSG00000130203
40,R-HSA-977225,ENSG00000130203
41,R-HSA-1268020,ENSG00000130204
42,R-HSA-5205685,ENSG00000130204
43,R-HSA-8866423,ENSG00000130208
44,R-HSA-8964046,ENSG00000130208
45,R-HSA-9029569,ENSG00000130208
46,R-HSA-977225,ENSG00000137642
47,R-HSA-1251985,ENSG00000138613
48,R-HSA-193692,ENSG00000138613
49,R-HSA-205043,ENSG00000138613
50,R-HSA-2122948,ENSG00000138613
51,R-HSA-2644606,ENSG00000138613
52,R-HSA-2894862,ENSG00000138613
53,R-HSA-2979096,ENSG00000138613
54,R-HSA-3928665,ENSG00000138613
55,R-HSA-9013700,ENSG00000138613
56,R-HSA-9017802,ENSG00000138613
57,R-HSA-977225,ENSG00000138613
58,R-HSA-8856825,ENSG00000138760
59,R-HSA-191859,ENSG00000142252
60,R-HSA-9754678,ENSG00000142252
61,R-HSA-8873719,ENSG00000152932
62,R-HSA-432722,ENSG00000189114
63,R-HSA-166016,ENSG00000197959
64,R-HSA-177504,ENSG00000197959
65,R-HSA-2132295,ENSG00000197959
66,R-HSA-437239,ENSG00000197959
67,R-HSA-6798695,ENSG00000203710
68,R-HSA-8877330,ENSG00000203710
69,R-HSA-977606,ENSG00000203710
70,R-HSA-8963888,ENSG00000234906
71,R-HSA-8963889,ENSG00000234906
72,R-HSA-8963901,ENSG00000234906
73,R-HSA-8964058,ENSG00000234906
74,R-HSA-9029569,ENSG00000234906
75,R-HSA-975634,ENSG00000234906
76,R-HSA-173736,ENSG00000243649
77,R-HSA-174577,ENSG00000243649
78,R-HSA-977606,ENSG00000243649
79,R-HSA-8866423,ENSG00000267467
80,R-HSA-8964046,ENSG00000267467
81,R-HSA-9029569,ENSG00000267467
82,R-HSA-212436,ENSG00000062370
83,R-HSA-8856828,ENSG00000073921
84,R-HSA-2172127,ENSG00000095970
85,R-HSA-418990,ENSG00000130202
86,R-HSA-8856828,ENSG00000136717
87,R-HSA-9013507,ENSG00000138613
88,R-HSA-8856828,ENSG00000138760
89,R-HSA-8856828,ENSG00000197959
