,pathway,source
0,R-HSA-1989781,ENSG00000001167
1,R-HSA-2426168,ENSG00000001167
2,R-HSA-380994,ENSG00000001167
3,R-HSA-381183,ENSG00000001167
4,R-HSA-9614657,ENSG00000001167
5,R-HSA-5620912,ENSG00000007047
6,R-HSA-204005,ENSG00000007255
7,R-HSA-8876198,ENSG00000007255
8,R-HSA-6798695,ENSG00000030582
9,R-HSA-6798695,ENSG00000064666
10,R-HSA-8950505,ENSG00000064666
11,R-HSA-1369062,ENSG00000064687
12,R-HSA-6791226,ENSG00000065268
13,R-HSA-8939236,ENSG00000066336
14,R-HSA-9616222,ENSG00000066336
15,R-HSA-1221632,ENSG00000066923
16,R-HSA-198933,ENSG00000073008
17,R-HSA-420597,ENSG00000073008
18,R-HSA-432722,ENSG00000073921
19,R-HSA-8856825,ENSG00000073921
20,R-HSA-9696264,ENSG00000073921
21,R-HSA-198933,ENSG00000085514
22,R-HSA-198933,ENSG00000095970
23,R-HSA-2424491,ENSG00000095970
24,R-HSA-416700,ENSG00000095970
25,R-HSA-112382,ENSG00000099817
26,R-HSA-113418,ENSG00000099817
27,R-HSA-167152,ENSG00000099817
28,R-HSA-167158,ENSG00000099817
29,R-HSA-167160,ENSG00000099817
30,R-HSA-167161,ENSG00000099817
31,R-HSA-167162,ENSG00000099817
32,R-HSA-167200,ENSG00000099817
33,R-HSA-167238,ENSG00000099817
34,R-HSA-167242,ENSG00000099817
35,R-HSA-167243,ENSG00000099817
36,R-HSA-167287,ENSG00000099817
37,R-HSA-167290,ENSG00000099817
38,R-HSA-168325,ENSG00000099817
39,R-HSA-1834949,ENSG00000099817
40,R-HSA-203927,ENSG00000099817
41,R-HSA-427413,ENSG00000099817
42,R-HSA-5250924,ENSG00000099817
43,R-HSA-5578749,ENSG00000099817
44,R-HSA-5601884,ENSG00000099817
45,R-HSA-5617472,ENSG00000099817
46,R-HSA-674695,ENSG00000099817
47,R-HSA-6781823,ENSG00000099817
48,R-HSA-6782135,ENSG00000099817
49,R-HSA-6782210,ENSG00000099817
50,R-HSA-6796648,ENSG00000099817
51,R-HSA-6803529,ENSG00000099817
52,R-HSA-6807505,ENSG00000099817
53,R-HSA-72086,ENSG00000099817
54,R-HSA-72163,ENSG00000099817
55,R-HSA-72165,ENSG00000099817
56,R-HSA-73762,ENSG00000099817
57,R-HSA-73772,ENSG00000099817
58,R-HSA-73776,ENSG00000099817
59,R-HSA-73779,ENSG00000099817
60,R-HSA-73780,ENSG00000099817
61,R-HSA-73863,ENSG00000099817
62,R-HSA-73980,ENSG00000099817
63,R-HSA-749476,ENSG00000099817
64,R-HSA-75953,ENSG00000099817
65,R-HSA-76061,ENSG00000099817
66,R-HSA-76066,ENSG00000099817
67,R-HSA-76071,ENSG00000099817
68,R-HSA-77075,ENSG00000099817
69,R-HSA-8851708,ENSG00000099817
70,R-HSA-9018519,ENSG00000099817
71,R-HSA-9670095,ENSG00000099817
72,R-HSA-8876198,ENSG00000100599
73,R-HSA-1296052,ENSG00000104783
74,R-HSA-5607761,ENSG00000104856
75,R-HSA-5621575,ENSG00000104856
76,R-HSA-5676590,ENSG00000104856
77,R-HSA-71288,ENSG00000104879
78,R-HSA-6804759,ENSG00000104881
79,R-HSA-112382,ENSG00000104884
80,R-HSA-113418,ENSG00000104884
81,R-HSA-167152,ENSG00000104884
82,R-HSA-167158,ENSG00000104884
83,R-HSA-167160,ENSG00000104884
84,R-HSA-167161,ENSG00000104884
85,R-HSA-167162,ENSG00000104884
86,R-HSA-167200,ENSG00000104884
87,R-HSA-2564830,ENSG00000104884
88,R-HSA-427413,ENSG00000104884
89,R-HSA-5696395,ENSG00000104884
90,R-HSA-5696400,ENSG00000104884
91,R-HSA-674695,ENSG00000104884
92,R-HSA-6781823,ENSG00000104884
93,R-HSA-6782135,ENSG00000104884
94,R-HSA-6782210,ENSG00000104884
95,R-HSA-6796648,ENSG00000104884
96,R-HSA-72086,ENSG00000104884
97,R-HSA-73762,ENSG00000104884
98,R-HSA-73772,ENSG00000104884
99,R-HSA-73776,ENSG00000104884
100,R-HSA-73779,ENSG00000104884
101,R-HSA-73863,ENSG00000104884
102,R-HSA-75953,ENSG00000104884
103,R-HSA-77075,ENSG00000104884
104,R-HSA-5578775,ENSG00000104936
105,R-HSA-6798695,ENSG00000108219
106,R-HSA-977225,ENSG00000108219
107,R-HSA-629587,ENSG00000108556
108,R-HSA-198933,ENSG00000112195
