,pathway,source
0,R-HSA-1989781,ENSG00000001167
1,R-HSA-2426168,ENSG00000001167
2,R-HSA-380994,ENSG00000001167
3,R-HSA-381183,ENSG00000001167
4,R-HSA-9614657,ENSG00000001167
5,R-HSA-389357,ENSG00000006062
6,R-HSA-5607761,ENSG00000006062
7,R-HSA-5676590,ENSG00000006062
8,R-HSA-5676594,ENSG00000006062
9,R-HSA-5620912,ENSG00000007047
10,R-HSA-204005,ENSG00000007255
11,R-HSA-8876198,ENSG00000007255
12,R-HSA-162791,ENSG00000011422
13,R-HSA-6798695,ENSG00000011422
14,R-HSA-75205,ENSG00000011422
15,R-HSA-5685938,ENSG00000012061
16,R-HSA-5696395,ENSG00000012061
17,R-HSA-5696400,ENSG00000012061
18,R-HSA-6782135,ENSG00000012061
19,R-HSA-6783310,ENSG00000012061
20,R-HSA-8854214,ENSG00000029725
21,R-HSA-1169408,ENSG00000030066
22,R-HSA-141444,ENSG00000030066
23,R-HSA-159227,ENSG00000030066
24,R-HSA-159230,ENSG00000030066
25,R-HSA-159231,ENSG00000030066
26,R-HSA-159236,ENSG00000030066
27,R-HSA-165054,ENSG00000030066
28,R-HSA-168271,ENSG00000030066
29,R-HSA-168276,ENSG00000030066
30,R-HSA-168325,ENSG00000030066
31,R-HSA-168333,ENSG00000030066
32,R-HSA-170822,ENSG00000030066
33,R-HSA-180746,ENSG00000030066
34,R-HSA-180910,ENSG00000030066
35,R-HSA-191859,ENSG00000030066
36,R-HSA-2467813,ENSG00000030066
37,R-HSA-2500257,ENSG00000030066
38,R-HSA-3108214,ENSG00000030066
39,R-HSA-3232142,ENSG00000030066
40,R-HSA-3301854,ENSG00000030066
41,R-HSA-3371453,ENSG00000030066
42,R-HSA-4085377,ENSG00000030066
43,R-HSA-4551638,ENSG00000030066
44,R-HSA-4570464,ENSG00000030066
45,R-HSA-4615885,ENSG00000030066
46,R-HSA-5578749,ENSG00000030066
47,R-HSA-5619107,ENSG00000030066
48,R-HSA-5663220,ENSG00000030066
49,R-HSA-6784531,ENSG00000030066
50,R-HSA-9609690,ENSG00000030066
51,R-HSA-9610379,ENSG00000030066
52,R-HSA-9615933,ENSG00000030066
53,R-HSA-9648025,ENSG00000030066
54,R-HSA-9705671,ENSG00000030066
55,R-HSA-6798695,ENSG00000030582
56,R-HSA-6809371,ENSG00000052344
57,R-HSA-6798695,ENSG00000064666
58,R-HSA-8950505,ENSG00000064666
59,R-HSA-1369062,ENSG00000064687
60,R-HSA-6791226,ENSG00000065268
61,R-HSA-8939236,ENSG00000066336
62,R-HSA-9616222,ENSG00000066336
63,R-HSA-1221632,ENSG00000066923
64,R-HSA-156827,ENSG00000070756
65,R-HSA-429947,ENSG00000070756
66,R-HSA-450408,ENSG00000070756
67,R-HSA-72649,ENSG00000070756
68,R-HSA-9010553,ENSG00000070756
69,R-HSA-975956,ENSG00000070756
70,R-HSA-975957,ENSG00000070756
71,R-HSA-186763,ENSG00000071051
72,R-HSA-373753,ENSG00000071051
73,R-HSA-3928664,ENSG00000071051
74,R-HSA-428540,ENSG00000071051
75,R-HSA-4420097,ENSG00000071051
76,R-HSA-8985801,ENSG00000071051
77,R-HSA-9013420,ENSG00000071051
78,R-HSA-9013424,ENSG00000071051
79,R-HSA-198933,ENSG00000073008
80,R-HSA-420597,ENSG00000073008
81,R-HSA-446353,ENSG00000073712
82,R-HSA-9013149,ENSG00000073712
83,R-HSA-9013423,ENSG00000073712
84,R-HSA-432722,ENSG00000073921
85,R-HSA-8856825,ENSG00000073921
86,R-HSA-9696264,ENSG00000073921
87,R-HSA-204005,ENSG00000073969
88,R-HSA-416993,ENSG00000073969
89,R-HSA-6807878,ENSG00000073969
90,R-HSA-6811434,ENSG00000073969
91,R-HSA-6811438,ENSG00000073969
92,R-HSA-6811440,ENSG00000073969
93,R-HSA-1475029,ENSG00000074410
94,R-HSA-191273,ENSG00000079459
95,R-HSA-1989781,ENSG00000079459
96,R-HSA-2426168,ENSG00000079459
97,R-HSA-198933,ENSG00000085514
98,R-HSA-198933,ENSG00000095970
99,R-HSA-2424491,ENSG00000095970
100,R-HSA-416700,ENSG00000095970
101,R-HSA-193368,ENSG00000099377
102,R-HSA-193775,ENSG00000099377
103,R-HSA-193807,ENSG00000099377
104,R-HSA-112382,ENSG00000099817
105,R-HSA-113418,ENSG00000099817
106,R-HSA-167152,ENSG00000099817
107,R-HSA-167158,ENSG00000099817
